city,description,href,id,salary,title
Одеса,"Дейтинговое агентство «Unio» проводит набор на вакансию оператор чата. Мы в сфере дейтинга более 5-ти лет и предлагаем стабильные условия работы, высокий заработок и перспективу карьерного роста.Работаем с топовыми сайтами — Prime Date, Anastasia.Date, Charmdate.Мы предлагаем:Самые выгодные условия среди дейтинговых агентств:1.Высокий процент от оборота:45% или 50% — в зависимости от оборота, до 40% от подарков2. Аванс в размере 30% от дохода ежемесячно.3. Полностью оплачиваемая стажировка.4. Твои 2% от оборота приведенного переводчика на постоянной основе.Оплата в €.Полный доступ к просмотру своего заработка.Неограниченный рост дохода.Топовые анкеты.Реальные перспективы быстрого карьерного роста (Все наши администраторы и руководители отделов — начинали переводчиками)Гибкий график работы (ночные или дневные смены с плавающими выходными на твой выбор 5/2).Удалённая работа Дружный, сплоченный коллектив и совместные мероприятия.Ты подходишь нам, если :Твой английский на уровне intermediate и выше (в крайнем случае в переписке встроен переводчик)Ты готов развиваться и содействовать росту компании.Ты инициативный, коммуникабельный, хочешь зарабатывать и готов работать на результат.Умеешь интересно вести общение.У тебя есть опыт работы в брачном агентстве, но если нет — научим;)Обязанности:Ведение онлайн-переписки с иностранными клиентами сайта на английском языке. Для максимального результата будь готов работать в ночное время, ввиду разницы в часовых поясах.Остались вопросы?Звони с 10.00 по 19.00 в будние и выходные по номеру Показати телефон-Екатерина, или пиши в телеграмм — Показати телефон, @unio_dating ;)",/jobs/4059277/,4059277,15 000 – 40 000 грн,"Оператор чата, переводчик в брачное агентство"
"Полтава, Зіньківська вулиця, 6/1А.
                        2 км від центру · 
                                    На мапі",«Сімейний розважальний комплекс Crazy Land» запрошує на роботу Касира входу та касира ресторану!Що робити:проводити готівковий та безготівковий розрахунок гостей;Що потрібно:наявність COVID-сертифікату;уважність;відповідальність;комунікабельність;аналітичні навички;старанність;привітність.Що пропонуємо:стабільну заробітну плату: фіксована ставкастабільний графік: 09:30 — 21:00;кар'єрний ріст;дружній колектив;корпоративні обіди.Запис на співбесіду за номерами:Показати телефонПоказати телефон,/jobs/4601710/,4601710,8 000 – 9 000 грн,Касир
Львів,Потрiбнi продавцi консультанти в магазин жiночого взуттявiк 21−35рокихлопцi та дiвчата с опитом працiЗП ставка + % 12000−16000грн(Офiцiне працевлаштування) м.Львiв пр.СВОБОДИ 27 тц Опера Пасаж магазин SexyFairyпо всiм питанням дзвонити по тел Показати телефон,/jobs/1914979/,1914979,16 000 грн,Продавець-консультант взуття
"Одеса, вулиця Буніна, 40.
                        0,8 км від центру · 
                                    На мапі","Pharmbills — американская компания, представленная в Украине офисами в Одессе и Харькове, а также сейчас открыт набор в команды Киева и Винницы.За 6 лет работы мы создали команду из 400 человек, которые удаленно помогают американским healthcare компаниям с финансами, обработкой документации, IT-поддержкой и обслуживанием клиентов.Связи с расшрением штатов, необходим помощник — специалист в отдел Бухгалтерского учета — Accountant assistant. Который будет работать удаленно из дома и частично из офиса компании.Задачи Accountant assistant :регистрация СПД онлайн;сверка начислений и уплат налогов в кабинете налогоплательщиков по каждому СПД;сдача отчетности в электронном виде;открытие счетов в Приват24 для Бизнеса онлайн;создание и контроль платежей в системе Приват24 для Бизнеса через загрузку файлаформирование дел для каждого СПДНаши требования к кандидату:знание законодательства;знание национальных стандартов бух. учета; умение работать с проверяющими органами;аналитическое мышление, навыки работы с цифрами и большими объемами данных;усидчивость и сосредоточенность;владение компьютером и офисными программами на уровне уверенного пользователя;возможность работать из офиса по окончанию карантина;Будет плюсом:опыт работы с бухгалтерским/экономическим анализом от 1 года;релевантное образование в сферах бухгалтерии, экономики или финансов;Предлагаем:оплату от 14 000 до 17 000 грн после оплачиваемой стажировки;своевременные выплаты;официальное сотрудничество на контрактной основе;медицинскую страховку по окончанию испытательного периода;фиксированный рабочий день без переработок;необходимое оборудование для работы из дома.постоянное общение с носителями языка (США);молодую команду (средний возраст — 25 лет);Подробнее о Pharmbills:Сайт: https://pharmbills.meInstagram: https://www.instagram.com/pharmbillsFacebook: https://www.facebook.com/Pharmbills",/jobs/4601673/,4601673,14 000 – 17 000 грн,Помощник Бухгалтера
"Київ, вулиця Ярославів Вал, 13/2Б.
                        0,8 км від центру · 
                                    На мапі","Маємо круту вакансію для тих, для кого навчання — це стиль життя. Адже знання — це наша суперсила!Наші основні напрямки діяльності — це курси англійської мови та підготовка до міжнародних іспитів (TOEFL, IELTS, Cambridge English), тренінги та міжнародні кваліфікації для викладачів (CELTA, Delta), проведення міжнародних іспитів Cambridge English. Одним словом — робимо все можливе, щоб забезпечувати дійсно високий та якісний рівень освіти в Україні.Grade Education Center — це місце, де ви зможете реалізувати свої професійні вміння та навички, постійно розвиватися та вчитися новому. Мультизадачність, уважність до деталей та вміння організувати свій день стануть вам у пригоді.Ми шукаємо email-маркетолога, який доведе, що кожен лист важливий і кожне слово має значення.В чому полягає робота?Написання якісних текстів, що закохують читачів у англійську та навчанняСтворення інформаційних та тригерних розсилок для теперішніх та майбутніх клієнтів центруАналіз і звітність щодо ефективності роботи та тестування гіпотезПобудова стратегії email розсилок для продажів та залучення аудиторіїЯку людину ми шукаємо?Досвід роботи в email маркетингу від 1-го рокуВміння працювати з сервісами розсилок (SendPulse) та графічними редакторами (Figma)Грамотна українська мова, та знання англійської на рівні В2/С1Гнучкість та вміння швидко адаптуватися до змін, організованістьСистемний підхід до роботиЧому ви захочете працювати з нами?Робота в затишному та сучасному офісі в центрі Києва (вул. Ярославів Вал, метро «Золоті Ворота»)Постійний розвиток у команді професіоналівКонкурентна заробітна платаОплачувані лікарняні та відпусткаЗнижка 50% на курси англійської мови",/jobs/4572765/,4572765,За результатами співбесіди,Email-маркетолог
Київ,"Про нас:«Воєводино» — затишний курорт на Закарпатті, неподалік від Ужгорода. Наша локація — це чудове місце для корпоративного відпочинку. Саме тому, наша команда шукає менеджера з продажу та роботи з корпоративними запитами.Sales-менеджер займається роботою з групами та корпоративними клієнтами: підготовка, організація та контроль проведення заходів.Вимоги:Вища освіта;Досвід роботи від 1 року на аналогічній посаді;Досвід роботи з клієнтами, підготовки пропозицій, проведення презентацій та переговорів;Володіння англійською мовою — перевага;Клієнтоорієнтованість та бажання працювати на результат — вітається!Обов’язки:Проведення зустрічей і переговорів із замовниками по організації заходів;Підготовка пропозицій, розрахунок бюджету;Повний супровід групи від запиту до завершення, координація роботи служб курорту під час проведення заходу;Підбір та пошук нових клієнтів, підтримка відносин з наявними.",/jobs/4570362/,4570362,12 000 грн,Sales-менеджер
"Одеса, вулиця Лейтенанта Шмідта, 23.
                        2,1 км від центру · 
                                    На мапі","WorkSET — группа компаний со своими объектами в Германии по направлению строительство, которая работает напрямую (без посредников) и всегда выполняет свои обязательства. Мы ищем кандидата на эту вакансию как для офисной работы, так и для выездных встреч с опытом работы в продажах (в первую очередь рассматриваются торговые представители и страховые агенты). Основной задачей является поиск специалистов по направлению строительство и приглашение их в нашу команду на условиях, которые значительно выше рыночных. По оформлению каждого специалиста компания всегда берет все затраты на себя. Дистанционное и личное общение с клиентами.Подбор кандидатов для наших вакансий в Германии.Сопровождение и поддержка кандидатов на всех этапах.Ежедневная обработка звонков.Развитие регионального маркетинга.Ведение учёта кандидатов и проделанной работы в программах используемых компанией.Наши требования к кандидату:Уверенный пользователь MS Office (Exсel, Word), текстовые и графические редакторы (Word, WordPad, PowerPoint, Access, Paint, Excel, Photoshop)Навыки продвижения услуг в социальных сетяхЖелательное владение английского или немецкого языка.Грамотная русская речьВысокая ориентация на результат и желание зарабатыватьГрафик работы:Пн/Пт с 9:00 до 17:00 Суббота по договоренности Воскресенье выходной З/П:Ставка 30000 грнБонус с каждого кандидата 3000 грнМы предлагаем вам:Много новой информации и вместе достигать крутых результатов.Мотивационную программу обучения.Помощь от наставника, коллег и руководства компании.Наша бонусная программа не оставит тебя равнодушным.Качества которые важны для нас: Ответственность и амбициозность. Умение ставить перед собой задачи и находить альтернативные решения.Умение располагать к себе людей и работать в команде.Быстро и самостоятельно принимать решения.Умение грамотно вести диалог.По разговору составить психологический портрет человека.Кто мы: Мы компания, которая занимается строительством в ГерманииНаши филиалы есть в таких городах как: Ужгород (Украина), Санок (Польша), Гуменне (Словакия), Мюнхен (Германия), скоро открытые в ОдессеНаши координаторы все русскоговорящие, мы не являемся посредниками, работаем напрямую с заказчикамиМы работаем по лицензии, без всяких оплат.Кандидат рассматривается только после отправки резюме.Мы приглашаем тебя стать частью нашей команды.",/jobs/4595656/,4595656,30 000 грн,"HR-менеджер, рекрутер"
"Київ, вулиця Радистів, 76.
                        11 км від центру · 
                                    На мапі","Мы компания по производству корпусной мебели и кухонь по индивидуальному заказу. Приглашаем на работу энергичного и ответственного менеджера с живым стремлением совершенствовать профессиональные умения. С радостью рассмотрим вашу кандидатура, если вы:имеете опыт в общении с клиентами не менее 5 лет — работа ранее в мебельных компаниях обязательна;обладаете необходимыми коммуникационными навыками — деликатностью в общении с клиентом, умением вести беседу уважительно и со знанием дела, стрессоустойчивостью;умеете расставлять приоритеты, грамотно планировать рабочее время — для нас очень важно, чтобы вы уделяли должное внимание каждому клиенту, держали в курсе всех событий, оперативно и максимально информировали заказчика о статусе заказа, налаживали с ним доверительные, теплые и дружеские отношения;обладаете навыками эффективного ведения переговоров и успешных продаж, умением работать с возражениями, убеждать и получать результат; со здоровым желанием зарабатывать больше — мы готовы обеспечить вас посильным объемом работы;готовы стать командным игроком — в частности оказывать максимальную помощь руководителю отдела продаж в вопросах развития, качественную обратную связь по всем происходящим процессам.В обязанности менеджера входит регулярное общение с клиентом на всех этапах заказа и изготовления мебели:телефонные переговоры;своевременная обработка обращений с рекламных источников (после первичного фильтра оператора) — для нас очень важно умение менеджера выстраивать приятную, дружелюбную коммуникации с заказчиками, а также участие в маркетинговых активностях компании; оперативное и емкое внесение необходимой информации в CRM/ERP-систему OneBox на всех этапах ведения заказа;выезд на объект и проведение первичного замера;проведение встреч в офисе компании;составление технического задания для визуализатора с учетом всех пожеланий клиента или самостоятельная визуализация проекта, обсуждение с клиентом 3D-проекта, активное участие в корректировке макетов;грамотная передача проекта на просчет оператору просчетов, контроль просчета и его редактирование при необходимости;помощь в выборе материалов и фурнитуры, их утверждение с клиентом;заключение клиентского договора и оформление предоплаты;оперативная передача технического задания конструктору на производство и дальнейшее сопровождение заказа, до установки мебели у клиента. Будет преимуществом:опыт работы в CRM-системах;умение работать в PRO100, БАЗИС-Мебельщик или других программах визуализации;опыт сотрудничества с дизайнерами, архитекторами, прорабами и строительными организациями;наличие водительских прав и личного автомобиля.Условия трудаВ вашем полном распоряжении:уютный офис;кухонный уголок — холодильник, микроволновка, чайник, кофеварка;ароматный кофе;ну и конечно же наш дружный коллектив.Оплата: 40000 грн. (ставка + %+ бонусы). Испытательный срок зависит от вашей квалификации.График работы: с 9:00 до 18:00, пн.-пт.Офис находится в 4 км от станции метро Лесная, ул. Радистов, 76.",/jobs/4601605/,4601605,40 000 грн,Менеджер по работе с клиентами (корпусная мебель под заказ)
Одеса,"🚀Мы IAMPM — лаборатория онлайн-образования для нетехничесĸих IT-специалистов. Наши образовательные продукты быстро помогают нашим студентам получить требуемые навыки и добиться ĸарьеры мечты. Среди наших клиентов: Uklon, Citrus, PrivatBank, Alfa Bank, Netpeak, Ciklum и многие другие!Ты — Assistant Sales manager, и твоя задача — помогать нашим будущим студентам узнавать о наших курсах и их достоинствах. Никаких холодных звонков — только теплые лиды и полезные продукты. А еще наш Sales Team Lead специально для тебя рассказала о том, какие ребята нужны в лучшую команду.💪 Заходи смотреть --> https://youtu.be/pYRcxczVnpE 📞Что по задачам?Делать от 30 до 40 звонков в день по теплой базе клиентов;Внимательно относиться к деталям;Выполнять еженедельные цели и месячные планы;Проявлять свою коммуникабельность, харизму и юмор на максимум и ценить каждого клиента;📞Мы ищем именно тебя, если: Ты можешь работать с клиентом и хочешь оттачивать свои навыки;У тебя сильная мотивация делать задачи качественно и получать хороший доход;Ты готов предлагать только качественные и полезные образовательные продукты, которые посоветовал бы друзьям;Ты умеешь решать спорные и конфликтные ситуации;Опыт работы с задачниками, календарями, crm будет большим плюсом, но мы можем всему научить!Ты просто классный человек. Мы обожаем классных людей!🥰 📞Условия работы и гарантии: Ставка + % + бонусы;Поддержка лидера и команды, которая позволит добиваться продаж уже в первый месяц работы;Полностью удаленная работа, полная занятость (8 рабочих часов в день);Оплачиваемый отпуск и больничный;Доброжелательная атмосфера и экологичное отношение к рабочему графику;Обучение тонкостям сферы онлайн-образования;Молодой, прогрессивный и очень дружелюбный коллектив!Sales Team в IAMPM — это не только про звонки и деньги, но и про них, конечно, тоже :) Sales Team в IAMPM — это про командные цели, здоровую атмосферу, совместные достижения и истинную любовь к продукту.Хочешь становиться лучше вместе с нами, помогая становиться лучше другим? Ждем твой отклик на вакансию! А в случае вопросов — давай обсудим в телеграме: @sveta_garamovaBe the part of the one! 💙",/jobs/3690960/,3690960,10 000 – 18 000 грн,Assistant Sales manager (онлайн-образование)
"Київ, проспект Перемоги, 90.
                        8,7 км від центру · 
                                    На мапі","Международная транспортная компания приглашает принять участие в конкурсе на вакансию ' Менеджер по работе с клиентами'Группа компаний GT-Trans — лидер в области международной перевозки грузов автомобильным транспортом, организации интермодальной доставки и консолидации грузов на терминалах Европы. Требования к соискателю:Свободное владение минимум одним иностранным языком: английским, немецким, французским, итальянским или польским,Умение общаться по телефону и вести грамотную переписку,Опыт в организации автомобильных грузовых перевозок желателен.Обязанности на должности включают:Переговоры с подрядчиками, общение и переписка с клиентами,Заключения контрактов с подрядчиками;Организация и мониторинг перевозок,Ведение необходимых записей в системе учета контактов,Мы предлагаем:График работы с 9 до 18:00 / 5 дней в неделю,Испытательный срок — 2 месяца,Офис — 2 мин пешком от метро Нивки,Оклад — 35 000 UAH + процент от прибыли.",/jobs/4601550/,4601550,35 000 – 50 000 грн,"Менеджер по работе с клиентами, логист"
